<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLT.US,5,20251110,215500,89.49,89.555,89.4833,89.55,4110514,0
TLT.US,5,20251111,153000,89.95,89.95,89.8801,89.89,417737,0
TLT.US,5,20251111,153500,89.885,89.89,89.84,89.8701,296672,0
TLT.US,5,20251111,154000,89.87,89.92,89.87,89.915,273684,0
TLT.US,5,20251111,154500,89.92,89.9399,89.9025,89.9299,193440,0
TLT.US,5,20251111,155000,89.925,89.96,89.9,89.905,215001,0
TLT.US,5,20251111,155500,89.91,89.9196,89.87,89.91,235444,0
TLT.US,5,20251111,160000,89.9096,89.9096,89.775,89.85,432807,0
TLT.US,5,20251111,160500,89.845,89.9,89.8428,89.885,214977,0
TLT.US,5,20251111,161000,89.8899,89.895,89.845,89.845,235026,0
TLT.US,5,20251111,161500,89.845,89.89,89.84,89.885,197761,0
TLT.US,5,20251111,162000,89.885,89.905,89.86,89.905,124994,0
TLT.US,5,20251111,162500,89.905,89.98,89.89,89.975,172504,0
TLT.US,5,20251111,163000,89.975,89.975,89.93,89.945,144912,0
TLT.US,5,20251111,163500,89.94336,89.965,89.905,89.91,164983,0
TLT.US,5,20251111,164000,89.915,89.94,89.9,89.9101,129651,0
TLT.US,5,20251111,164500,89.915,90,89.91,89.97,250490,0
TLT.US,5,20251111,165000,89.975,89.99,89.945,89.975,225263,0
TLT.US,5,20251111,165500,89.98,90.02,89.9701,90.0048,236199,0
TLT.US,5,20251111,170000,90.005,90.04,90.001,90.03,124335,0
TLT.US,5,20251111,170500,90.0242,90.05,90.0242,90.05,204052,0
TLT.US,5,20251111,171000,90.05,90.065,90,90.035,400225,0
TLT.US,5,20251111,171500,90.03,90.04,89.96,89.965,157859,0
TLT.US,5,20251111,172000,89.965,89.99,89.95,89.95,341465,0
TLT.US,5,20251111,172500,89.955,89.96,89.93,89.9379,182285,0
TLT.US,5,20251111,173000,89.935,89.955,89.93,89.935,161915,0
TLT.US,5,20251111,173500,89.935,89.9701,89.92,89.94,138237,0
TLT.US,5,20251111,174000,89.94,89.97,89.93,89.97,68212,0
TLT.US,5,20251111,174500,89.97,89.97,89.94,89.945,60646,0
TLT.US,5,20251111,175000,89.9455,89.95,89.94,89.945,50335,0
TLT.US,5,20251111,175500,89.945,89.95,89.92,89.925,86583,0
TLT.US,5,20251111,180000,89.9344,89.98,89.93,89.965,114520,0
TLT.US,5,20251111,180500,89.96,89.97,89.9203,89.925,79577,0
TLT.US,5,20251111,181000,89.925,89.95,89.925,89.95,60122,0
TLT.US,5,20251111,181500,89.95,89.96,89.94,89.95,94446,0
TLT.US,5,20251111,182000,89.9421,90,89.94,89.98,128991,0
TLT.US,5,20251111,182500,89.9701,89.99,89.96,89.965,62230,0
TLT.US,5,20251111,183000,89.96,89.9765,89.96,89.9601,51475,0
TLT.US,5,20251111,183500,89.965,90,89.96,89.99,100465,0
