<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQD.US,5,20251203,194000,111.16,111.21,111.16,111.2001,189909,0
LQD.US,5,20251203,194500,111.2,111.235,111.195,111.215,186113,0
LQD.US,5,20251203,195000,111.21,111.2196,111.193,111.2099,77694,0
LQD.US,5,20251203,195500,111.205,111.21,111.2,111.205,184740,0
LQD.US,5,20251203,200000,111.205,111.24,111.2,111.2283,116461,0
LQD.US,5,20251203,200500,111.22,111.23,111.205,111.225,178788,0
LQD.US,5,20251203,201000,111.225,111.2599,111.225,111.2599,93267,0
LQD.US,5,20251203,201500,111.255,111.26,111.245,111.255,111080,0
LQD.US,5,20251203,202000,111.26,111.265,111.25,111.255,146987,0
LQD.US,5,20251203,202500,111.26,111.26,111.24,111.245,68936,0
LQD.US,5,20251203,203000,111.245,111.2493,111.23,111.23,121124,0
LQD.US,5,20251203,203500,111.235,111.25,111.23,111.24,208596,0
LQD.US,5,20251203,204000,111.235,111.24,111.23,111.23,83523,0
LQD.US,5,20251203,204500,111.23,111.255,111.23,111.245,128663,0
LQD.US,5,20251203,205000,111.249,111.25575,111.235,111.235,67939,0
LQD.US,5,20251203,205500,111.24,111.26,111.23,111.24,114087,0
LQD.US,5,20251203,210000,111.24,111.2499,111.22,111.23,259076,0
LQD.US,5,20251203,210500,111.235,111.2375,111.22,111.235,62040,0
LQD.US,5,20251203,211000,111.23,111.25,111.23,111.2453,100022,0
LQD.US,5,20251203,211500,111.245,111.245,111.22,111.225,267984,0
LQD.US,5,20251203,212000,111.22,111.228,111.21,111.21,128109,0
LQD.US,5,20251203,212500,111.215,111.215,111.2,111.205,342344,0
LQD.US,5,20251203,213000,111.205,111.21,111.18,111.185,590544,0
LQD.US,5,20251203,213500,111.185,111.19,111.18,111.185,317515,0
LQD.US,5,20251203,214000,111.185,111.2,111.17,111.195,340871,0
LQD.US,5,20251203,214500,111.195,111.2,111.18,111.2,846281,0
LQD.US,5,20251203,215000,111.195,111.21,111.18,111.195,839273,0
LQD.US,5,20251203,215500,111.19,111.195,111.16,111.17,1294561,0
LQD.US,5,20251204,153000,111.05,111.06,110.99,110.995,163423,0
LQD.US,5,20251204,153500,110.99,111.04,110.99,111.015,284136,0
LQD.US,5,20251204,154000,111.015,111.02,111,111.015,687309,0
LQD.US,5,20251204,154500,111.015,111.015,110.98,110.99,742795,0
LQD.US,5,20251204,155000,110.985,110.99,110.95,110.98,533125,0
LQD.US,5,20251204,155500,110.98,111.01,110.975,110.995,193009,0
LQD.US,5,20251204,160000,110.995,111.01,110.97,110.975,182380,0
LQD.US,5,20251204,160500,110.975,110.98,110.93,110.935,150772,0
LQD.US,5,20251204,161000,110.93,110.96,110.93,110.945,278411,0
LQD.US,5,20251204,161500,110.94,110.96,110.93,110.955,444059,0
LQD.US,5,20251204,162000,110.955,110.97,110.94,110.945,381917,0
LQD.US,5,20251204,162500,110.95,110.98,110.92,110.975,448507,0
LQD.US,5,20251204,163000,110.975,110.975,110.94,110.95,1543305,0
LQD.US,5,20251204,163500,110.95,110.99,110.945,110.96,590120,0
LQD.US,5,20251204,164000,110.96,110.96,110.94,110.945,302391,0
LQD.US,5,20251204,164500,110.945,110.95,110.89,110.895,205779,0
LQD.US,5,20251204,165000,110.895,110.895,110.86,110.875,224642,0
LQD.US,5,20251204,165500,110.875,110.9,110.87,110.895,535978,0
LQD.US,5,20251204,170000,110.895,110.91,110.88,110.88,557042,0
LQD.US,5,20251204,170500,110.885,110.8968,110.86,110.895,607436,0
LQD.US,5,20251204,171000,110.89,110.93,110.8804,110.925,306096,0
LQD.US,5,20251204,171500,110.93,110.955,110.93,110.95,144496,0
LQD.US,5,20251204,172000,110.95,110.965,110.94,110.94,441292,0
LQD.US,5,20251204,172500,110.94,110.965,110.94,110.96,574158,0
LQD.US,5,20251204,173000,110.955,110.955,110.92,110.935,259987,0
LQD.US,5,20251204,173500,110.935,110.97,110.93,110.945,117762,0
LQD.US,5,20251204,174000,110.945,110.95,110.91,110.92,327319,0
LQD.US,5,20251204,174500,110.915,110.94,110.915,110.935,508960,0
LQD.US,5,20251204,175000,110.935,110.97,110.93,110.965,482613,0
LQD.US,5,20251204,175500,110.965,111.005,110.95,111.005,332602,0
LQD.US,5,20251204,180000,111,111.02,110.99,111.005,446892,0
LQD.US,5,20251204,180500,111.01,111.03,110.99,110.995,460596,0
LQD.US,5,20251204,181000,110.99,111.01,110.98,110.985,177926,0
LQD.US,5,20251204,181500,110.985,110.99,110.97,110.97,171538,0
LQD.US,5,20251204,182000,110.975,110.98,110.96,110.975,454710,0
LQD.US,5,20251204,182500,110.98,111.005,110.97,110.995,225935,0
LQD.US,5,20251204,183000,110.995,111.005,110.985,110.995,693778,0
LQD.US,5,20251204,183500,111,111,110.99,110.995,144197,0
LQD.US,5,20251204,184000,110.995,110.9999,110.96,110.96,158438,0
LQD.US,5,20251204,184500,110.965,110.9878,110.96,110.985,114046,0
LQD.US,5,20251204,185000,110.985,111.005,110.97,110.9999,131246,0
LQD.US,5,20251204,185500,111,111.02,110.995,111.02,43201,0
LQD.US,5,20251204,190000,111.02,111.02,110.99,111.005,205410,0
LQD.US,5,20251204,190500,111.005,111.0073,110.97,110.97,109934,0
LQD.US,5,20251204,191000,110.97,110.98,110.97,110.975,31927,0
LQD.US,5,20251204,191500,110.975,110.9999,110.97,110.9835,98395,0
LQD.US,5,20251204,192000,110.98,111.005,110.98,111.005,33564,0
LQD.US,5,20251204,192500,111.01,111.01,110.98,110.9906,275447,0
LQD.US,5,20251204,193000,110.995,111,110.97,110.975,90662,0
LQD.US,5,20251204,193500,110.975,111,110.975,110.975,124805,0
LQD.US,5,20251204,194000,110.975,110.99,110.97,110.985,48127,0
LQD.US,5,20251204,194500,110.985,110.99,110.96,110.96,73992,0
LQD.US,5,20251204,195000,110.96,110.98,110.96,110.975,552875,0
LQD.US,5,20251204,195500,110.975,110.99,110.97,110.985,709786,0
LQD.US,5,20251204,200000,110.985,111,110.98,110.985,55205,0
LQD.US,5,20251204,200500,110.985,110.985,110.96,110.96,229939,0
LQD.US,5,20251204,201000,110.96,110.96,110.94,110.945,162700,0
LQD.US,5,20251204,201500,110.945,110.945,110.91,110.9189,92010,0
LQD.US,5,20251204,202000,110.91,110.92,110.89,110.905,406985,0
LQD.US,5,20251204,202500,110.91,110.915,110.88,110.885,98073,0
LQD.US,5,20251204,203000,110.88,110.9,110.88,110.895,85739,0
LQD.US,5,20251204,203500,110.895,110.94,110.895,110.925,320105,0
LQD.US,5,20251204,204000,110.9299,110.93,110.92,110.925,197477,0
LQD.US,5,20251204,204500,110.925,110.925,110.91,110.915,205073,0
LQD.US,5,20251204,205000,110.915,110.925,110.91,110.9101,189492,0
LQD.US,5,20251204,205500,110.915,110.93,110.91,110.925,258964,0
LQD.US,5,20251204,210000,110.925,110.925,110.89,110.89,172384,0
LQD.US,5,20251204,210500,110.89,110.89,110.87,110.885,524520,0
LQD.US,5,20251204,211000,110.885,110.89,110.88,110.885,187789,0
LQD.US,5,20251204,211500,110.885,110.89,110.87,110.8745,324048,0
LQD.US,5,20251204,212000,110.875,110.88,110.865,110.875,246670,0
LQD.US,5,20251204,212500,110.875,110.88,110.87,110.875,234121,0
LQD.US,5,20251204,213000,110.875,110.9,110.87,110.875,501840,0
LQD.US,5,20251204,213500,110.875,110.9,110.87,110.885,617745,0
LQD.US,5,20251204,214000,110.885,110.9,110.885,110.895,226868,0
LQD.US,5,20251204,214500,110.895,110.92,110.895,110.905,452043,0
LQD.US,5,20251204,215000,110.91,110.92,110.9011,110.915,477438,0
LQD.US,5,20251204,215500,110.915,110.99,110.91,110.97,3730866,0
LQD.US,5,20251205,153000,111.002,111.01,110.93,110.935,545361,0
LQD.US,5,20251205,153500,110.94,110.965,110.935,110.96,352649,0
LQD.US,5,20251205,154000,110.96,110.985,110.96,110.965,224141,0
