<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLD.US,5,20251119,194000,375.45,375.45,375.03,375.2356,33357,0
GLD.US,5,20251119,194500,375.23,375.44,375.13,375.44,12297,0
GLD.US,5,20251119,195000,375.48,376.34,375.48,376.2,85520,0
GLD.US,5,20251119,195500,376.16,376.16,375.87,375.881,18522,0
GLD.US,5,20251119,200000,375.9341,375.99,375.23,375.59,102212,0
GLD.US,5,20251119,200500,375.62,375.75,375.22,375.66,41204,0
GLD.US,5,20251119,201000,375.62,375.62,374.6601,375.07,47515,0
GLD.US,5,20251119,201500,375.11,375.17,374.7,375.02,64518,0
GLD.US,5,20251119,202000,375,375,374.61,374.8,108411,0
GLD.US,5,20251119,202500,374.77,374.865,374.27,374.545,51534,0
GLD.US,5,20251119,203000,374.535,374.61,374.305,374.561,28955,0
GLD.US,5,20251119,203500,374.54,374.98,374.44,374.48,56308,0
GLD.US,5,20251119,204000,374.45,374.61,374.4,374.54,37612,0
GLD.US,5,20251119,204500,374.59,374.74,374.45,374.69,30275,0
GLD.US,5,20251119,205000,374.7,375.05,374.5104,374.89,43880,0
GLD.US,5,20251119,205500,374.8928,374.9,374.59,374.73,15219,0
GLD.US,5,20251119,210000,374.68,374.805,374.5675,374.665,37405,0
GLD.US,5,20251119,210500,374.65,375.08,374.65,374.88,61348,0
GLD.US,5,20251119,211000,374.88,374.9695,374.69,374.89,26759,0
GLD.US,5,20251119,211500,374.92,375.42,374.92,375.355,36471,0
GLD.US,5,20251119,212000,375.36,375.47,374.99,375.08,38168,0
GLD.US,5,20251119,212500,375.08,375.32,374.92,375.22,44738,0
GLD.US,5,20251119,213000,375.21,375.26,374.8,375.02,37302,0
GLD.US,5,20251119,213500,375.02,375.33,374.95,375.11,40317,0
GLD.US,5,20251119,214000,375.12,375.15,374.86,375.03,42723,0
GLD.US,5,20251119,214500,375.04,375.07,374.55,374.57,70322,0
GLD.US,5,20251119,215000,374.56,375.13,374.55,375,108986,0
GLD.US,5,20251119,215500,375.01,375.1199,374.83,374.96,534915,0
GLD.US,5,20251120,153000,375.29,375.565,374.67,375.05,186507,0
GLD.US,5,20251120,153500,375.01,375.79,374.85,375.41,214487,0
